"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"General governments final consumption expenditure","89,485","89,859","93,551","92,959","93,810","97,340","95,907","97,397","99,286","99,206","101,313","101,899","107,577","105,688","104,944","107,955","109,578","110,051","111,470","113,878","116,277","119,729","122,627","126,434","126,609","132,109","132,832","134,257","135,560","138,314","142,081","144,624","144,364","147,234","147,389","149,803","155,337","161,165","157,480","160,793","158,241","163,974","166,687","169,038","165,707","168,294","172,063","174,932","174,592","176,492","177,429","184,422","183,263","188,237","191,000","193,589","195,196","201,814","204,150","203,965","203,117","205,459","204,395","206,656","210,451","214,799","213,233","214,842","214,369","215,774","216,111","216,486","215,987","218,995","217,181","218,626","220,022","222,813","225,985","225,065","226,086","225,644","228,400","229,023","227,096","229,417","231,372","232,030","228,008","232,247","234,691","234,951","235,525","235,617","238,350","241,401","245,043","247,146","245,224","251,311","251,448","249,805","252,281","251,338","253,441","255,383","253,618","256,790","259,827","262,243","263,429","263,507","264,498","268,144","271,279","270,901","276,173","272,898","278,930","282,035","280,573","285,842","283,773","285,992","286,448","284,842","284,780","289,354","286,590","287,809","284,483","284,253","280,111","283,659","283,926","282,456","282,129","281,299","279,023","276,474","276,675","276,650","272,432","271,820","274,021","271,988","272,550","272,490","279,818","276,951","278,004","277,260","280,344","282,139","286,621","286,996","290,253","293,451","294,821","296,621","300,418","304,199","305,065","305,484","307,604","308,862","311,908","314,277","317,724","318,851","319,677","322,190","324,271","323,685","326,346","328,112","326,357","327,512","329,367","333,031","334,368","337,932","339,026","341,158","342,521","344,123","348,920","349,041","352,166","359,854","359,725","364,937","364,979","367,834","369,790","372,821","376,161","375,733","377,064","379,675","379,986","381,420","383,086","383,925","384,431","383,387","385,762","385,500","381,463","379,767","381,670","384,018","385,121","383,683","383,860","382,696","387,912","388,318","390,569","389,488","392,681","396,863","396,786","397,626","401,743","402,064","404,948","408,714","412,730","416,819","418,296","421,250","419,086","418,474","421,814","425,861","425,704","409,343","432,037","439,951","449,278","452,926","455,362","458,519","461,843","459,143","464,544","467,362"
"Gross fixed capital formation","57,964","59,451","61,456","61,529","62,447","62,124","64,134","63,611","63,120","64,475","65,593","68,499","71,540","72,454","73,605","78,383","78,465","79,524","83,707","86,417","89,172","91,886","91,072","92,200","92,409","92,045","90,759","89,468","91,318","91,386","91,441","93,655","94,614","96,178","96,978","97,683","97,833","94,391","96,919","98,492","99,184","103,244","105,694","107,654","107,922","109,281","108,427","107,313","113,087","115,578","117,806","121,989","126,731","122,462","122,548","121,926","123,062","126,458","131,469","133,647","135,033","139,589","136,088","136,897","138,930","139,980","141,535","140,494","139,966","143,294","143,172","145,013","146,713","148,132","155,898","156,698","158,653","154,725","161,208","165,750","173,711","178,563","174,290","172,483","166,867","155,537","148,647","152,156","151,428","154,515","156,102","157,229","157,594","157,412","158,770","159,000","162,766","170,434","175,814","177,416","179,185","178,710","177,538","178,125","182,659","190,938","200,818","204,020","208,001","210,160","217,167","214,244","223,315","221,498","220,521","227,932","224,572","219,115","213,115","205,484","207,171","204,822","205,461","208,340","206,893","198,347","202,337","193,948","191,824","196,378","200,611","203,403","206,035","212,492","212,640","214,122","208,810","208,315","207,812","208,817","213,405","213,481","222,193","232,804","237,115","243,536","250,898","253,335","252,804","253,365","253,873","256,696","259,541","266,175","268,319","274,873","277,347","279,243","282,596","283,871","291,601","295,469","299,090","291,023","291,761","295,695","300,323","301,136","303,844","306,867","316,518","323,717","331,286","336,517","341,414","347,249","356,674","365,271","375,143","383,143","390,194","393,658","393,575","395,759","401,474","404,443","406,121","410,981","420,386","417,773","414,173","397,086","357,087","355,386","366,529","383,801","397,336","405,802","410,414","417,644","422,078","425,721","427,425","431,614","443,581","448,228","447,594","450,833","453,316","453,416","453,908","455,535","456,586","460,542","466,863","473,052","453,116","440,630","435,014","431,533","423,015","419,949","421,165","414,247","425,595","429,324","433,223","446,403","448,586","449,521","442,947","437,203","444,226","444,247","454,048","450,206","451,374","391,442","447,349","459,330","476,102","474,983","458,442","469,173","475,594","464,671","456,630","453,605"
"Business gross fixed capital formation","44,499","44,649","46,122","45,804","45,590","45,735","47,753","47,240","46,667","47,999","49,258","51,789","55,216","55,857","56,652","60,611","59,888","61,179","64,392","66,696","68,923","71,050","70,132","70,760","71,278","70,346","69,214","67,769","69,401","69,710","69,773","71,678","73,487","74,650","75,382","76,204","76,995","73,800","75,795","76,591","76,418","79,422","81,304","83,413","84,203","85,408","84,990","84,599","90,880","93,248","95,198","99,629","104,378","100,015","98,893","98,256","99,583","102,478","107,910","109,914","111,200","115,763","112,977","113,718","115,431","115,718","116,936","115,563","115,654","118,817","119,181","120,717","122,690","124,430","132,098","132,979","134,043","129,693","135,706","140,051","148,082","152,359","147,683","145,418","139,918","128,517","121,576","124,233","123,973","127,137","128,422","129,491","129,320","128,834","129,541","129,271","132,308","138,631","143,161","145,050","147,185","147,190","146,651","147,486","151,441","159,464","168,913","172,048","175,202","176,724","183,219","180,452","188,572","186,565","184,763","190,678","186,966","181,609","174,954","167,445","168,423","165,299","166,016","168,051","167,304","159,046","163,320","155,975","152,646","156,865","161,034","164,138","166,216","172,426","171,438","172,184","168,297","168,014","167,131","167,735","172,717","173,644","182,288","193,551","199,057","205,757","212,732","215,233","214,632","215,365","216,130","218,509","219,058","223,789","225,298","230,989","233,517","235,777","238,424","239,074","244,277","247,479","249,806","239,565","240,815","244,625","249,094","250,249","252,322","254,273","263,477","270,163","276,809","281,714","286,024","290,415","296,888","303,633","312,176","318,868","325,742","328,789","328,565","329,739","334,437","336,330","337,061","341,623","347,862","345,381","341,949","323,869","284,618","280,479","286,062","297,652","310,583","318,116","322,749","330,475","336,928","343,268","348,122","354,855","364,986","368,723","368,565","372,506","375,760","379,060","379,799","382,721","384,082","388,573","394,437","400,361","378,771","368,060","362,334","358,462","349,356","347,954","349,770","341,919","351,687","354,240","355,362","365,410","366,807","369,922","364,035","361,570","368,700","368,754","376,648","372,871","371,415","312,871","365,711","377,430","393,989","393,811","377,230","387,172","391,963","381,670","375,019","369,928"
"Residential structures","25,355","26,070","27,018","26,070","25,961","26,342","27,911","27,119","26,225","27,305","27,398","30,304","31,834","30,746","31,492","34,312","33,706","33,155","33,683","33,077","33,310","34,133","30,436","29,830","30,956","31,578","33,799","33,939","34,398","37,334","36,689","39,726","40,985","43,043","42,290","41,599","40,379","35,772","37,248","40,402","40,472","43,704","45,498","46,625","47,433","48,349","48,528","47,961","50,936","51,930","51,122","52,808","57,384","52,917","49,911","46,990","45,615","47,114","52,971","55,729","57,718","62,410","63,334","61,105","61,648","62,076","62,464","61,765","62,363","63,225","62,410","62,355","62,169","61,198","62,658","62,371","60,895","54,890","58,339","61,283","64,305","66,978","61,519","55,924","54,759","48,584","48,103","52,698","55,801","61,977","62,226","59,592","59,792","59,738","60,970","61,393","61,300","62,685","67,521","71,779","71,005","73,480","75,125","76,718","81,172","84,295","87,935","86,939","86,062","87,251","86,411","87,929","92,121","88,653","89,180","92,035","89,459","83,905","78,314","72,130","67,098","68,101","69,735","71,615","73,727","72,995","75,322","74,674","71,379","71,381","71,629","71,999","75,151","76,625","74,906","71,457","66,457","62,717","62,010","62,265","64,241","67,682","71,750","74,181","73,991","74,899","75,307","75,592","73,561","72,495","71,794","71,130","72,399","75,037","75,997","77,114","75,984","76,513","79,891","81,390","83,775","85,685","87,901","91,876","97,091","99,025","100,849","103,056","102,097","100,527","105,014","106,864","110,287","112,870","113,787","115,617","114,819","117,667","117,726","117,969","122,299","120,944","117,749","117,924","123,275","123,990","123,597","124,108","122,686","119,828","117,129","110,317","103,206","106,877","111,194","118,051","121,412","119,956","117,742","116,924","119,274","119,074","122,121","123,346","128,772","128,122","127,057","126,969","125,930","127,890","127,037","126,818","125,265","128,194","131,103","131,469","132,415","132,599","135,122","135,736","137,943","139,099","139,293","140,583","142,896","141,655","140,776","144,612","142,843","142,364","140,871","137,801","134,745","139,517","142,817","142,700","141,117","120,755","159,027","166,964","180,959","173,692","158,304","162,753","165,590","151,326","143,607","140,338"
"Non-residential structures, machinery and equipment","20,676","20,494","21,176","21,329","21,253","21,193","21,985","21,935","21,898","22,385","23,223","23,859","25,644","26,505","26,711","28,367","28,082","29,135","31,155","33,010","34,497","35,640","36,408","37,074","37,014","36,024","34,222","33,056","34,030","33,020","33,311","33,421","34,245","34,172","34,898","35,686","36,709","36,242","37,050","36,388","36,375","37,252","37,878","38,925","39,153","39,587","39,124","39,077","42,452","43,764","45,635","48,212","49,613","48,486","49,112","50,040","51,712","53,133","54,378","54,547","54,110","55,243","52,487","54,054","55,090","54,951","55,561","54,739","54,590","56,481","57,011","58,088","59,671","61,254","66,122","66,679","68,020","67,288","69,928","71,650","76,343","78,123","77,101","78,012","74,435","68,869","64,139","63,984","62,354","61,746","62,411","64,163","63,681","63,145","62,963","62,656","64,764","68,596","69,553","68,952","70,657","69,589","68,467","68,056","68,792","73,228","78,441","81,477","84,319","84,472","90,043","86,782","91,046","91,675","89,947","92,844","91,034","89,785","87,076","84,645","88,087","85,575","85,337","85,836","83,898","77,290","78,999","72,864","71,317","73,999","76,891","78,235","77,322","80,717","80,559","83,292","83,269","85,827","85,220","85,165","87,033","85,942","90,313","97,968","102,675","107,540","112,725","114,000","113,755","114,346","114,923","116,791","117,684","120,144","120,358","123,852","125,875","125,595","124,552","122,851","124,013","125,343","127,152","117,032","115,015","117,187","119,456","118,260","119,969","122,820","127,436","131,767","134,138","135,882","138,236","140,455","146,030","148,902","155,531","161,242","164,921","169,309","171,782","172,613","172,370","173,267","173,865","176,973","183,397","183,772","183,666","174,589","147,764","141,467","142,763","146,832","154,799","162,264","168,253","176,689","181,620","186,102","186,764","192,233","196,785","203,004","203,480","207,875","211,597","213,826","215,169","218,262","220,554","222,682","225,852","230,281","210,830","202,139","194,628","189,781","178,180","175,340","177,592","168,556","173,994","176,630","177,562","184,966","184,386","187,389","183,539","182,956","192,020","187,960","192,532","189,483","189,161","153,513","164,453","166,856","166,758","175,521","177,223","183,401","185,019","190,700","192,518","189,829"
"Non-residential structures","23,411","23,761","24,534","24,805","23,603","23,252","23,794","23,702","23,662","24,290","24,429","25,360","27,006","27,719","28,466","29,682","29,464","29,953","30,931","32,226","34,347","35,318","35,615","35,708","34,532","33,488","32,787","32,635","33,091","33,058","32,992","32,715","32,457","32,186","32,992","33,864","35,688","35,358","36,276","36,587","36,897","37,459","38,047","38,232","37,750","37,862","37,248","37,036","38,880","39,574","40,955","42,540","43,637","42,217","42,739","43,928","45,778","48,071","49,505","52,016","49,670","49,214","45,573","45,395","47,675","50,747","51,018","51,613","50,873","51,811","51,058","51,111","52,862","56,053","60,408","60,553","63,427","62,344","63,302","64,584","67,980","68,232","68,295","69,771","68,208","63,645","57,916","58,823","57,337","56,222","55,676","56,969","56,046","55,415","55,838","53,623","55,291","59,628","59,217","57,450","60,530","55,245","52,157","51,609","51,804","56,425","58,830","60,507","59,616","61,742","64,047","65,266","66,737","64,614","65,777","67,252","66,687","67,014","66,238","64,023","64,796","64,154","62,914","62,757","58,013","53,214","53,707","49,758","50,383","52,947","53,500","55,185","54,232","55,461","56,621","58,037","58,849","56,724","56,500","55,067","55,100","56,353","57,974","61,113","65,662","68,017","70,778","69,758","68,323","67,373","66,192","66,215","68,249","69,475","70,944","72,372","71,812","69,842","67,928","68,544","71,472","72,751","73,545","72,261","69,957","69,093","68,975","68,534","70,575","72,272","73,917","76,001","76,787","78,324","79,442","79,564","82,220","83,947","86,124","88,357","90,625","93,462","96,305","97,630","96,578","96,369","96,738","97,055","103,490","105,023","105,586","102,990","88,703","82,810","81,991","82,788","90,724","95,215","101,126","107,437","111,529","110,684","115,373","119,714","122,927","128,521","129,127","133,393","136,617","138,764","141,596","142,771","146,298","147,404","149,191","151,962","136,962","130,522","124,467","119,723","114,592","110,201","117,286","109,205","109,121","110,457","112,147","113,891","113,011","113,401","112,692","111,722","113,353","114,038","117,407","119,283","121,165","102,380","100,608","99,138","103,217","105,698","107,037","110,873","112,025","113,618","116,195","119,047"
"Machinery and equipment","4,970","4,793","4,956","4,972","5,225","5,279","5,558","5,556","5,542","5,643","6,039","6,140","6,664","6,933","6,857","7,414","7,320","7,750","8,556","9,202","9,444","9,802","10,134","10,463","10,740","10,490","9,702","9,115","9,518","8,979","9,156","9,288","9,805","9,836","10,018","10,206","10,270","10,105","10,297","9,850","9,758","10,082","10,264","10,785","11,041","11,249","11,163","11,199","12,558","13,095","13,747","14,747","15,218","15,011","15,213","15,376","15,768","15,876","16,155","15,466","15,949","16,751","16,292","17,261","17,154","16,122","16,391","15,734","15,874","16,675","17,208","17,810","18,188","18,136","19,609","19,883","19,771","19,686","20,932","21,537","23,218","24,202","23,564","23,614","21,974","20,151","19,223","18,827","18,344","18,345","18,917","19,536","19,552","19,441","19,189","19,757","20,469","21,315","22,041","22,284","22,267","23,418","23,799","23,737","24,123","25,217","27,603","28,897","31,053","30,323","33,026","30,423","32,611","33,890","32,278","33,582","32,619","31,654","30,179","29,490","31,477","30,058","30,430","30,836","31,589","29,200","30,134","27,701","26,413","27,126","28,822","29,012","28,802","30,545","29,959","31,185","30,835","33,404","33,094","33,660","34,894","33,629","35,877","39,695","40,893","43,164","45,476","46,793","47,259","48,080","48,994","50,259","49,953","51,091","50,551","52,317","54,010","54,774","54,974","53,462","52,858","53,177","54,070","47,502","47,200","49,156","50,830","50,196","50,387","51,574","54,095","56,174","57,518","57,952","59,098","60,764","63,496","64,675","68,587","71,746","73,203","74,842","74,840","74,561","75,139","76,077","76,311","78,871","79,209","78,217","77,626","71,616","59,413","58,533","60,347","63,375","63,765","66,733","67,000","69,201","70,085","75,310","71,360","72,502","73,844","74,492","74,365","74,475","74,951","75,017","73,494","75,428","74,155","75,180","76,566","78,222","73,726","71,453","69,947","69,744","63,449","64,842","60,215","59,192","64,544","65,821","65,107","70,693","70,983","73,557","70,475","70,839","78,081","73,479","74,694","69,903","67,775","51,161","63,409","67,163","63,013","69,438","69,767","72,083","72,524","76,830","75,904","70,019"
"Intellectual property products","1,465","1,487","1,478","1,461","1,412","1,434","1,478","1,474","1,439","1,487","1,509","1,575","1,642","1,659","1,765","1,844","1,858","1,955","2,043","2,078","2,092","2,162","2,246","2,295","2,246","2,339","2,405","2,480","2,506","2,502","2,533","2,520","2,467","2,520","2,683","2,815","2,890","2,992","3,023","2,912","2,723","2,656","2,634","2,648","2,648","2,714","2,811","2,824","2,771","2,780","2,815","2,815","2,740","2,793","2,868","2,952","2,987","3,076","3,137","3,142","3,676","3,720","3,874","4,029","4,051","4,223","4,395","4,523","4,435","4,576","4,739","4,889","4,902","5,163","5,485","5,781","5,970","6,266","6,619","6,831","6,822","7,044","7,216","7,329","7,263","7,034","6,677","6,708","6,668","6,746","6,984","7,394","7,695","7,918","8,062","7,936","8,260","8,682","8,858","8,795","9,190","8,962","8,766","9,021","8,992","9,323","9,770","9,889","10,179","10,627","11,004","11,049","10,962","10,790","10,664","10,985","11,342","11,591","12,281","12,197","12,763","11,875","11,636","11,641","11,543","11,608","12,065","12,417","13,436","14,516","15,099","16,352","17,071","18,152","18,688","18,856","18,845","18,384","18,779","19,271","20,572","20,140","20,463","20,757","20,825","21,064","21,577","22,352","23,617","24,480","25,103","25,775","24,268","24,051","24,560","25,278","26,314","28,445","29,640","31,098","33,062","33,204","31,711","30,024","29,456","29,211","29,591","30,292","31,186","31,254","31,519","31,840","32,873","33,589","34,506","34,864","36,013","37,089","38,454","38,836","37,846","37,538","37,725","37,866","37,713","37,991","38,497","39,411","40,596","40,577","39,917","37,757","33,196","32,190","32,300","33,060","34,628","36,047","36,801","36,847","36,040","38,084","39,229","39,254","39,424","37,599","38,029","37,664","38,263","37,357","37,612","37,664","38,291","37,721","37,501","38,637","35,578","33,404","32,677","33,021","33,259","33,505","32,893","32,686","34,759","36,029","37,162","36,024","39,895","40,602","40,002","41,329","42,775","41,879","41,900","41,200","41,715","38,970","41,062","42,021","43,463","43,286","42,208","41,432","41,547","42,551","43,082","44,277"
"Non-profit institutions serving households' gross fixed capital formation","300","277","301","322","324","325","303","302","318","295","340","361","333","376","399","395","364","406","424","416","386","440","435","452","445","460","423","423","422","443","462","494","448","460","496","505","519","496","493","502","508","506","499","516","511","542","525","518","509","560","576","559","574","590","571","570","540","601","628","662","649","689","693","641","669","718","713","707","690","752","732","719","725","789","825","815","806","837","857","875","899","959","1,015","1,097","1,081","1,008","923","923","984","1,039","1,035","1,038","1,026","1,077","1,103","1,116","1,070","1,068","1,109","1,109","1,103","1,078","1,055","1,048","1,011","1,046","1,065","1,080","1,058","1,053","1,063","1,079","1,067","1,053","1,033","1,088","1,103","1,110","1,089","1,038","1,076","1,080","1,170","1,257","1,215","1,188","1,176","1,183","1,222","1,254","1,285","1,330","1,282","1,306","1,322","1,330","1,398","1,391","1,403","1,414","1,446","1,502","1,492","1,449","1,636","1,539","1,488","1,353","1,177","1,041","963","965","1,071","1,219","1,285","1,313","1,314","1,332","1,363","1,381","1,433","1,469","1,545","1,612","1,861","1,801","1,763","1,749","1,741","1,711","1,582","1,347","989","851","941","1,282","1,885","2,322","2,619","2,775","2,827","2,698","2,478","2,210","1,586","1,653","1,848","2,127","2,597","2,817","2,994","2,955","2,255","2,249","2,213","2,407","2,366","2,411","2,428","2,571","2,400","2,459","2,464","2,488","2,572","2,712","2,796","2,812","2,873","2,822","2,850","2,894","3,075","3,118","3,038","2,925","2,769","2,765","2,790","2,736","2,177","2,021","1,955","1,979","2,018","2,089","2,113","2,133","2,177","2,133","2,073","2,001","1,844","1,868","1,907","1,907","1,926","1,815","1,950","2,014","2,125","2,159","2,020","1,971","1,977","2,060","1,970","1,937"
"General governments gross fixed capital formation","13,287","14,649","15,157","15,532","16,686","16,215","16,234","16,224","16,280","16,344","16,150","16,515","16,178","16,400","16,732","17,559","18,427","18,155","19,106","19,531","20,113","20,644","20,746","21,235","20,935","21,480","21,365","21,508","21,734","21,475","21,443","21,729","20,926","21,318","21,351","21,221","20,561","20,335","20,870","21,651","22,519","23,595","24,173","24,002","23,471","23,595","23,166","22,441","21,923","21,983","22,247","22,007","21,983","22,048","23,272","23,281","23,133","23,572","23,133","23,272","23,397","23,346","22,621","22,750","23,046","23,752","24,094","24,427","23,831","23,937","23,471","23,794","23,517","23,124","23,189","23,120","24,025","24,399","24,861","25,055","24,990","25,512","25,830","26,185","26,065","26,146","26,246","27,096","26,569","26,454","26,762","26,824","27,354","27,591","28,200","28,665","29,438","30,790","31,608","31,343","31,013","30,570","29,968","29,730","30,354","30,575","30,989","31,037","31,895","32,544","33,044","32,872","33,838","34,055","34,925","36,375","36,721","36,613","37,291","37,219","37,895","38,698","38,512","39,272","38,605","38,364","38,075","37,021","38,235","38,513","38,505","38,098","38,713","38,883","40,064","40,819","39,289","39,080","39,464","39,865","39,382","38,427","38,422","37,686","36,199","35,964","36,377","36,447","36,723","36,689","36,500","36,939","39,214","40,997","41,572","42,397","42,330","41,931","42,605","43,220","45,726","46,355","47,588","49,821","49,008","49,170","49,345","49,003","49,654","50,776","51,332","52,073","53,365","53,821","54,301","55,393","57,742","59,139","60,139","61,282","61,378","61,925","62,301","63,614","65,316","66,334","67,098","67,103","69,818","69,463","69,114","70,146","70,214","72,701","78,348","83,873","84,482","85,359","85,304","84,638","82,775","80,007","76,842","74,270","76,024","76,792","76,232","75,515","74,687","71,561","71,291","69,968","69,485","68,917","69,454","69,829","71,660","69,887","69,964","70,405","71,553","70,036","69,495","70,422","71,963","73,072","75,851","78,977","79,725","77,560","76,936","73,716","73,757","73,700","75,571","75,513","78,152","77,048","79,752","79,863","79,819","78,799","79,187","79,936","81,606","80,991","79,695","81,976"
"Investment in inventories","742","1,176","-1,808","1,884","2,569","1,135","4,017","2,740","2,886","2,194","2,982","3,476","4,271","2,210","2,259","160","7,636","5,636","2,933","3,708","4,879","7,691","3,761","3,655","863","159","1,869","-221","152","2,294","3,251","3,986","4,504","4,878","5,584","6,262","2,282","2,619","3,413","-3,762","-2,543","69","2,966","3,868","111","2,296","3,773","2,917","3,168","2,421","6,941","7,366","5,262","11,068","9,778","13,431","8,420","2,258","851","1,873","7,914","5,703","7,200","2,878","5,548","5,399","1,983","2,442","-984","-1,124","1,399","4,527","5,434","14,774","6,393","11,355","3,250","8,900","-8,977","-4,200","3,201","10,708","2,158","-7,484","-10,258","-18,195","-21,563","-21,037","-8,837","-11,736","-3,193","178","5,958","11,403","6,470","3,723","7,723","5,702","10,021","7,419","10,899","8,791","1,905","-1,288","1,410","-691","1,713","12,280","12,674","6,136","6,543","4,714","1,452","11,665","14,034","1,399","-28","1,038","-7,879","-6,736","-3,449","-15,639","-9,942","-10,772","-11,027","-8,217","-8,921","-13,846","-6,525","-3,988","2,358","1,024","2,874","2,545","1,370","2,900","9,421","15,835","12,269","6,423","2,088","-6,533","1,910","8,826","4,626","9,951","12,721","13,565","16,250","7,838","-3,206","5,144","1,728","5,388","3,659","15,999","16,383","15,336","15,942","10,721","-2,564","-1,075","-7,096","-16,445","-18,252","-32","-503","4,176","13,510","13,438","-2,953","1,728","-3,315","-5,610","14,205","22,556","20,493","11,182","13,592","10,239","17,264","17,949","12,862","39","3,606","535","17,185","21,746","10,406","7,719","15,727","8,212","5,130","-8,174","-4,469","-5,061","4,127","-5,067","4,590","-6,397","10,949","17,630","10,396","12,083","4,482","6,327","10,519","5,960","15,583","12,447","18,936","24,252","21,226","9,746","5,469","8,130","13,373","8,987","-8,534","-5,966","-4,551","5,671","6,682","-3,057","14,629","20,434","25,930","15,807","19,267","19,354","12,573","15,246","25,063","17,220","4,966","6,820","-2,821","-31,596","-43,861","-15,695","-17,690","4,659","-11,680","8,120","19,421","57,592","52,072","22,290"
