"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Of which: business investment in inventories","742","1,098","-1,870","1,931","2,654","1,080","4,003","2,738","2,894","2,241","2,951","3,521","4,225","2,310","2,341","83","7,497","5,699","2,923","3,708","4,863","7,652","3,785","3,655","834","138","1,863","-229","175","2,299","3,226","3,978","4,548","4,888","5,582","6,313","2,255","2,619","3,391","-3,626","-2,588","40","3,071","3,741","48","2,270","3,829","2,943","3,175","2,477","6,866","7,364","5,281","11,010","9,759","13,433","8,492","2,205","842","1,846","7,914","5,741","7,210","2,869","5,523","5,425","1,988","2,423","-1,002","-1,105","1,432","4,441","5,474","14,802","6,445","11,189","3,337","8,938","-8,916","-4,431","3,669","9,554","2,468","-7,672","-10,287","-18,215","-21,553","-20,725","-9,060","-11,620","-3,111","8","6,061","11,298","6,378","3,832","7,808","5,654","9,993","7,504","10,833","8,779","1,993","-1,406","1,462","-683","1,746","12,180","12,686","6,142","6,521","4,622","1,475","11,779","13,981","1,580","-218","1,006","-7,832","-6,716","-3,401","-15,715","-9,900","-10,650","-11,248","-7,976","-8,997","-13,904","-6,525","-3,959","2,288","1,062","2,858","2,543","1,402","2,897","9,304","15,972","12,257","6,378","2,105","-6,556","2,054","8,634","4,716","9,924","12,701","13,599","16,259","7,835","-3,208","5,166","1,709","5,367","3,713","15,935","16,395","15,341","15,905","10,709","-2,530","-1,059","-7,153","-16,398","-18,252","19","-481","4,126","13,504","13,434","-2,967","1,697","-3,195","-5,811","14,239","22,785","20,390","11,107","13,647","10,190","17,281","18,015","12,869","39","3,587","497","17,111","21,877","10,282","7,571","15,788","8,341","5,004","-7,776","-4,664","-5,098","4,037","-5,236","4,278","-5,895","10,135","18,478","10,311","12,489","-181","6,647","10,465","6,077","15,273","12,798","19,476","23,905","22,192","8,743","5,529","8,132","13,506","8,970","-8,612","-5,995","-4,227","5,257","6,766","-3,404","16,105","19,263","25,982","16,035","19,532","18,863","12,648","15,134","25,102","17,276","4,964","6,693","-2,033","-33,923","-41,718","-16,389","-19,557","6,699","-11,444","6,892","19,948","57,395","52,273","22,110"
"Non-farm","2,321","2,320","-32","3,245","1,925","880","2,713","1,348","1,592","322","1,192","3,721","3,860","3,493","3,465","231","6,156","4,033","3,625","4,742","3,978","5,994","3,042","2,835","1,822","857","1,152","-1,094","372","1,889","2,087","2,549","3,358","2,773","3,341","4,384","2,190","2,040","4,738","-3,100","-3,651","101","3,396","3,901","834","3,438","5,595","3,277","4,166","2,629","6,326","6,858","7,933","9,263","11,529","14,854","5,096","1,089","1,808","2,325","6,727","4,676","5,615","2,230","4,525","5,794","2,041","3,665","-2,038","-3,212","1,274","4,410","6,215","14,063","7,986","10,657","4,440","10,191","-7,911","-4,116","1,724","8,432","1,875","-7,885","-11,473","-18,132","-21,400","-20,496","-6,538","-10,617","-1,986","263","6,816","12,440","10,022","5,170","7,374","4,351","8,207","7,145","9,302","7,255","-61","-1,523","471","182","2,553","12,842","14,056","8,957","9,021","5,330","648","9,251","11,871","1,010","-867","82","-10,985","-8,785","-5,083","-16,312","-10,135","-10,700","-9,655","-7,562","-6,925","-13,565","-7,883","-5,736","818","-846","-176","931","2,091","2,796","8,087","13,962","10,828","6,548","2,493","-9,988","-1,087","7,988","2,978","10,540","14,888","16,119","15,814","5,824","-3,505","5,369","625","3,335","3,221","15,027","15,532","14,552","15,503","9,610","-2,075","464","-5,263","-14,038","-17,054","1,568","1,731","5,918","11,122","10,338","-6,423","-1,019","-4,887","-7,224","12,176","19,967","18,200","9,292","11,867","8,676","17,274","18,639","13,285","1,035","4,506","1,542","18,007","22,117","9,044","5,522","11,751","5,801","6,237","-5,478","-6,067","-6,374","4,954","-3,253","5,260","-4,786","9,436","17,832","9,710","13,578","1,485","5,748","9,277","3,550","10,893","7,315","12,400","18,951","19,906","9,699","6,350","7,832","12,874","8,492","-9,800","-6,902","-4,800","3,257","6,219","-2,643","15,510","17,919","25,586","13,624","18,601","18,695","11,936","14,906","24,063","16,791","3,914","4,164","-4,452","-35,539","-36,607","-15,187","-9,577","13,675","51","5,877","21,215","48,422","43,872","19,195"
"Farm","-2,266","-1,708","-2,348","-1,810","808","208","1,442","1,639","1,525","2,341","2,105","-408","277","-1,604","-1,555","-205","1,382","1,884","-1,057","-1,529","907","1,753","766","864","-1,224","-876","783","1,017","-230","415","1,235","1,559","1,270","2,335","2,499","2,128","-8","610","-1,823","-502","1,335","-71","-490","-314","-939","-1,427","-2,026","-378","-995","-138","550","560","-2,056","1,685","-1,271","-1,030","3,143","1,024","-884","-445","1,169","1,039","1,566","636","995","-369","-50","-1,197","935","1,768","162","138","-371","1,058","-923","772","-735","-694","-1,040","-368","1,698","1,148","553","67","929","-304","-378","-418","-2,445","-1,029","-1,100","-243","-651","-965","-3,371","-1,259","452","1,309","1,809","335","1,560","1,579","2,280","155","1,109","-969","-937","-1,025","-1,984","-3,437","-2,872","-828","891","2,644","2,154","614","734","1,030","3,754","2,552","2,047","1,053","545","393","-1,645","-273","-2,278","-131","1,625","2,052","1,610","2,083","3,305","1,767","-797","80","1,240","2,033","1,429","-288","-461","3,813","3,389","596","1,926","-905","-2,716","-3,124","191","2,195","438","-387","1,264","2,309","496","707","671","627","192","1,076","-472","-1,658","-1,974","-2,400","-1,143","-1,706","-2,430","-1,953","2,454","3,420","4,988","3,874","2,651","2,367","2,179","2,782","1,988","2,008","1,815","1,610","-953","-1,835","-1,185","-1,358","-1,379","-1,396","-1,755","-909","1,234","2,149","4,228","2,754","-1,573","-2,590","1,911","1,823","-1,355","-2,373","-1,320","-1,163","651","552","575","-1,172","-1,622","898","1,188","2,484","4,342","5,449","7,126","5,012","2,268","-963","-752","376","783","575","869","698","461","1,915","549","-757","576","1,323","370","2,404","903","108","684","181","1,003","457","1,057","2,564","2,450","1,596","-5,097","-1,229","-9,526","-6,236","-10,046","974","-552","8,464","7,949","2,849"
"Exports of goods and services","44,862","44,367","45,757","46,728","47,173","47,335","46,567","49,065","49,485","50,597","50,946","55,841","56,757","60,438","59,518","58,269","58,754","59,589","61,961","65,339","66,376","67,564","71,671","72,282","73,542","78,225","77,866","78,088","82,169","85,102","87,312","90,949","91,985","91,029","92,238","97,877","101,498","101,457","102,433","101,968","103,870","105,422","110,656","107,243","108,563","117,322","113,878","124,275","129,338","130,395","123,830","127,244","123,092","121,762","123,765","119,142","111,106","112,442","112,072","111,723","115,228","121,807","124,640","120,685","125,691","128,174","128,958","130,723","136,170","140,479","142,714","145,551","148,924","142,947","147,943","146,659","150,891","144,595","145,435","151,903","149,177","153,307","149,663","150,775","147,553","150,291","154,870","141,889","145,884","155,794","157,920","169,395","177,715","183,446","193,873","191,085","192,487","194,155","195,111","197,821","199,020","200,877","207,643","207,109","209,048","206,170","209,422","216,022","227,727","231,498","226,082","231,910","235,998","226,863","228,148","234,084","237,663","246,283","244,849","238,350","233,450","243,734","253,034","252,616","254,736","261,973","265,963","273,228","283,144","291,245","293,470","302,028","303,992","325,608","338,383","351,831","361,591","353,778","354,042","367,421","367,630","381,818","390,025","379,595","400,857","405,962","417,648","425,183","439,029","443,948","452,927","470,743","488,010","488,756","505,803","519,712","537,425","545,503","549,674","550,399","540,481","533,141","522,088","523,974","532,956","532,103","544,160","536,520","527,886","517,269","523,582","540,327","539,677","565,093","563,225","557,714","563,240","561,190","569,271","582,575","574,749","572,631","572,306","576,651","582,434","591,407","581,239","567,381","559,123","564,139","559,627","534,041","488,049","468,265","480,789","492,398","499,315","515,523","515,499","528,009","529,014","521,281","550,239","557,182","556,461","556,941","553,209","551,838","560,597","570,866","566,836","574,741","572,813","607,486","616,555","619,905","613,634","621,986","634,319","629,449","642,847","616,598","634,400","640,701","644,134","649,413","633,561","644,064","655,025","669,793","673,409","671,399","671,718","692,929","694,918","682,411","669,236","556,322","631,770","641,872","649,575","616,204","621,740","645,565","633,100","643,771","660,263","661,654"
"Exports of goods","35,810","35,398","36,457","37,198","37,472","37,198","36,663","38,929","39,203","40,130","40,380","44,652","45,530","48,879","47,933","46,501","46,962","47,584","49,527","52,945","53,357","54,651","58,231","58,830","59,732","61,345","59,109","63,332","68,226","70,747","72,845","76,886","76,842","75,523","76,612","82,036","84,645","85,081","86,283","85,106","87,646","88,666","93,546","90,280","93,080","100,372","96,885","106,252","110,803","111,686","105,188","108,626","102,957","102,334","104,099","99,617","92,447","94,012","93,634","93,237","95,654","102,628","104,992","101,799","106,409","108,155","108,999","110,583","115,271","118,660","120,508","122,509","125,270","118,880","123,495","122,107","125,555","119,792","120,523","126,894","123,446","127,348","123,955","125,310","122,908","125,673","130,294","118,630","122,960","130,576","132,361","143,273","150,410","156,236","166,062","163,415","164,179","165,443","165,959","168,169","169,478","169,852","174,733","176,340","177,942","174,850","177,273","183,634","192,032","198,000","192,388","197,334","200,167","191,968","193,043","198,573","202,297","209,061","208,379","202,236","197,721","207,986","216,529","214,535","217,872","223,210","227,085","232,532","242,091","249,683","250,697","258,643","257,929","276,710","292,860","303,403","311,736","304,214","303,212","314,708","313,999","327,008","333,785","323,564","344,582","347,570","357,709","364,254","373,940","376,658","385,085","401,565","417,640","418,918","434,050","445,662","461,355","468,416","471,009","471,314","461,884","454,557","445,068","446,770","452,988","451,592","462,672","453,240","448,470","440,453","442,602","456,668","456,601","479,261","476,484","469,865","476,241","472,895","480,355","491,918","485,955","482,816","481,970","485,893","493,369","501,073","492,074","477,915","471,078","475,345","469,977","443,853","401,851","381,837","395,438","405,482","414,636","431,089","429,926","441,724","443,437","433,100","460,532","466,246","464,718","464,260","461,657","459,921","469,083","477,891","471,365","479,931","475,652","507,060","516,269","517,436","510,298","518,608","530,977","525,429","534,957","508,047","523,997","528,176","530,842","534,952","517,736","527,336","531,219","545,295","547,987","544,724","537,046","553,394","552,688","542,810","537,427","439,498","514,607","522,207","531,216","498,585","500,462","518,367","508,779","516,763","530,764","528,911"
"Exports of services","9,621","9,544","9,922","10,187","10,417","11,143","10,842","10,919","11,108","11,297","11,409","11,858","11,816","11,934","12,094","12,530","12,507","12,755","13,192","12,796","13,646","13,392","13,817","13,782","14,195","18,197","20,888","15,269","13,864","14,242","14,254","13,516","14,885","15,428","15,523","15,523","16,633","16,036","15,712","16,615","15,741","16,326","16,562","16,503","14,714","16,154","16,326","17,193","17,618","17,789","18,008","17,789","20,203","19,259","19,448","19,649","19,017","18,551","18,598","18,698","20,032","18,964","19,436","18,622","18,840","19,725","19,584","19,714","20,416","21,455","21,850","22,883","23,538","24,813","24,908","25,232","26,100","25,952","26,047","25,415","26,991","26,910","26,890","26,368","25,354","25,055","24,584","23,649","22,842","25,483","25,826","25,829","26,953","26,403","26,529","26,522","27,340","27,800","28,356","28,883","28,666","30,530","32,659","29,897","30,241","30,649","31,564","31,561","35,258","32,349","32,822","33,687","35,087","34,292","34,502","34,783","34,488","36,417","35,575","35,353","35,034","34,862","35,535","37,232","35,883","37,838","37,887","39,771","39,950","40,346","41,664","42,156","45,179","47,880","43,562","46,589","47,983","47,902","49,425","51,248","52,344","53,302","54,748","54,817","54,500","56,811","58,293","59,241","63,651","66,025","66,446","67,545","68,505","67,897","69,682","71,963","73,850","74,817","76,524","76,993","76,723","76,941","75,421","75,589","78,476","79,098","79,947","82,107","77,926","75,247","79,669","82,313","81,699","84,284","85,333","86,636","85,654","87,080","87,620","89,292","87,380","88,511","89,075","89,467","87,533","88,771","87,651","88,101","86,692","87,425","88,554","89,779","86,053","86,326","85,281","86,850","84,602","84,374","85,493","86,220","85,508","88,231","89,638","90,872","91,734","92,678","91,559","91,921","91,530","92,996","95,441","94,815","97,212","100,353","100,173","102,373","103,239","103,340","103,344","103,909","107,665","107,942","109,864","111,937","112,697","113,857","115,094","116,025","122,971","123,661","124,583","125,792","133,502","138,323","140,980","138,375","130,845","115,357","116,723","119,195","117,891","117,426","121,303","127,366","124,422","127,253","129,574","133,325"
"Less: imports of goods and services","36,821","36,710","37,045","39,724","39,756","38,699","38,305","37,029","37,212","38,245","39,828","41,427","43,034","44,593","43,919","45,012","47,508","48,696","50,243","53,788","54,582","55,491","57,413","59,507","59,610","60,280","60,216","59,710","64,894","62,740","65,201","71,677","74,484","74,779","74,037","76,637","74,300","75,034","75,182","71,047","72,211","77,762","81,893","84,046","84,118","89,274","91,630","95,949","100,913","101,922","102,927","109,578","112,585","113,606","115,424","114,591","111,955","109,339","109,084","110,898","115,301","119,599","116,876","116,836","116,967","118,969","116,609","113,554","113,239","120,704","120,867","126,920","128,133","126,908","129,552","130,637","128,659","123,746","119,511","127,207","126,079","134,000","127,911","123,095","113,578","107,493","107,104","101,766","107,460","112,418","121,697","131,813","136,862","138,527","143,096","137,191","142,982","150,120","153,817","154,662","157,796","156,738","163,347","163,232","161,584","163,928","168,328","181,898","188,925","188,949","193,585","195,676","200,826","202,180","200,882","207,817","209,149","209,701","205,669","202,931","203,261","207,269","216,805","220,900","220,508","222,848","226,548","221,829","231,889","239,177","240,549","246,846","246,717","258,060","260,430","272,774","272,778","274,980","273,680","276,572","282,488","282,142","293,038","299,217","317,411","324,441","338,112","343,044","347,366","349,216","341,361","355,155","361,939","368,675","377,640","397,062","405,539","407,832","411,630","408,073","396,951","394,347","385,458","376,190","378,338","396,533","403,965","403,025","406,508","407,276","407,898","427,142","430,920","442,528","455,247","460,378","475,835","472,288","480,595","491,840","496,260","509,392","508,624","508,467","519,459","527,736","540,529","551,830","552,494","556,434","541,540","508,238","459,155","452,016","480,650","499,322","521,491","536,043","546,067","548,300","560,617","565,732","570,146","575,784","586,368","586,529","592,853","590,798","597,753","603,976","601,350","602,423","598,906","619,152","621,680","626,645","623,740","625,307","617,785","618,082","619,638","621,360","628,463","616,714","639,100","649,470","648,904","663,746","674,092","683,445","669,159","660,467","680,847","675,456","674,642","666,376","662,746","519,753","622,934","639,894","653,290","653,984","648,976","679,773","682,041","724,709","721,505","698,762"
"Imports of goods","26,522","26,470","26,451","28,490","29,094","27,933","28,004","26,951","27,149","27,862","29,165","30,524","31,633","33,078","32,309","32,988","35,508","36,274","37,633","40,795","41,314","41,956","43,349","45,189","45,223","45,813","45,813","45,044","49,815","48,027","49,848","55,460","57,192","56,225","56,244","58,924","55,885","56,244","56,386","53,011","55,172","59,279","62,161","63,729","65,309","69,419","71,062","74,463","78,883","79,962","80,306","85,562","87,085","88,366","90,162","88,952","85,249","83,311","82,956","83,938","87,123","90,184","88,026","87,728","88,344","90,401","87,847","85,727","85,652","91,719","92,208","97,711","99,768","98,536","101,000","101,560","99,357","95,295","90,830","97,987","95,859","103,211","98,641","94,611","85,001","81,189","81,187","76,134","81,707","85,036","92,842","101,988","106,322","108,260","113,084","108,120","111,855","118,792","122,092","122,919","125,414","123,809","129,724","129,245","127,880","129,182","132,866","145,066","150,369","149,207","152,778","153,885","157,281","158,471","156,973","161,891","162,071","162,237","157,695","155,485","156,643","158,646","167,235","168,662","169,821","171,551","176,359","173,285","181,270","187,232","187,554","194,387","193,567","204,406","210,701","221,780","222,233","223,027","220,921","223,100","228,950","227,907","237,523","242,256","260,504","267,822","279,648","284,947","288,527","289,672","284,411","297,794","303,351","308,316","316,163","332,479","340,407","342,456","346,026","342,675","331,775","330,583","322,796","314,153","316,666","330,743","337,162","336,481","339,596","339,540","335,764","350,492","354,789","366,942","379,097","381,548","395,361","392,349","398,217","408,427","411,424","424,151","422,002","423,274","433,656","437,723","449,173","452,376","452,946","459,452","446,158","419,535","369,953","361,813","388,429","402,952","418,620","431,965","443,816","441,903","453,601","455,904","461,646","467,564","472,932","474,004","477,900","475,852","482,748","488,594","486,768","488,450","484,076","500,657","503,480","508,185","504,566","502,920","497,313","497,170","498,588","498,591","506,135","493,572","514,237","525,501","520,727","533,909","539,293","548,628","534,552","527,230","543,436","539,815","538,397","526,417","518,853","420,361","521,588","534,644","543,426","541,379","530,493","553,297","557,102","590,925","585,936","566,036"
"Imports of services","12,052","11,954","12,538","13,221","12,178","12,555","11,779","11,610","11,550","11,943","12,151","12,315","12,921","12,850","13,139","13,691","13,237","13,778","13,871","13,986","14,341","14,646","15,263","15,384","15,482","15,526","15,427","15,913","15,913","15,597","16,312","16,907","18,256","20,178","19,092","18,687","19,998","20,495","20,495","19,763","18,191","19,785","21,227","21,882","19,681","20,730","21,555","22,494","22,843","22,658","23,526","24,946","26,901","26,349","26,131","26,912","29,238","28,457","28,670","29,833","31,270","32,755","32,187","32,635","31,794","31,412","32,083","30,931","30,571","31,892","31,341","31,439","29,861","30,041","29,970","30,718","31,428","30,713","31,848","31,521","33,525","33,218","31,493","30,873","32,574","29,521","28,905","29,183","28,607","30,658","31,897","32,222","32,766","32,130","31,188","30,374","32,948","32,523","32,756","32,701","33,356","34,249","34,682","35,217","34,949","36,246","36,909","37,752","39,644","41,372","42,519","43,773","45,885","46,004","46,409","48,740","50,290","50,797","51,836","51,302","50,112","52,602","53,248","56,616","54,555","55,229","53,518","51,598","53,771","55,115","56,406","55,404","56,296","56,405","51,255","52,278","51,704","53,395","54,473","55,241","55,089","55,957","57,125","58,663","58,015","57,466","59,247","58,680","59,431","60,193","57,422","57,631","58,878","60,717","61,812","64,929","65,409","65,645","65,844","65,664","65,548","64,073","62,980","62,377","61,995","66,161","67,174","66,911","67,276","68,112","72,534","77,066","76,565","76,059","76,633","79,331","80,994","80,455","82,907","83,948","85,376","85,806","87,177","85,768","86,423","90,563","91,950","99,810","99,905","97,399","95,785","89,076","89,130","89,978","92,221","96,336","102,725","103,995","102,327","106,326","106,983","109,777","108,469","108,189","113,446","112,525","114,950","114,939","115,021","115,420","114,630","114,053","114,861","118,524","118,264","118,516","119,195","122,360","120,460","120,902","121,042","122,718","122,345","123,058","124,870","124,091","128,122","129,838","134,683","134,774","134,461","133,076","137,241","135,514","136,065","139,385","142,931","100,049","104,089","107,963","112,438","115,008","120,549","128,594","127,076","136,056","137,831","134,896"
"Statistical discrepancy","-3,376","-1,727","1,284","773","1,636","2,442","299","-124","-569","1,016","780","201","-1,838","1,091","221","305","-1,269","-284","84","849","467","-2,468","-3,265","1,220","962","-532","-410","-474","298","74","-1,637","1,414","2,995","3,660","1,754","-774","297","-1,250","-4,248","-4,531","-3,463","-2,242","-3,525","-2,852","174","-1,172","694","2,753","2,931","3,252","1,881","918","3,238","3,357","4,365","4,218","2,923","1,523","1,952","1,311","5,143","2,989","-136","1,658","-955","-1,576","-4,003","-3,886","-3,126","-114","-1,741","2,320","-2,970","-3,060","2,713","1,235","2,145","-16","-3,107","-2,541","-3,359","-2,092","1,000","773","-2,147","-386","-2,310","-4,318","-4,244","-2,753","-1,122","-638","-898","-263","-2,158","-1,509","1,514","945","-2,019","1,109","-1,787","-2,470","460","-2,417","-347","2,235","2,942","2,517","2,062","1,730","1,250","1,960","4,673","957","-1,128","1,551","739","1,357","637","843","-417","-726","-1,987","-2,071","-2,873","-1,384","-1,611","-2,110","715","480","-2,151","-1,062","1,811","-1,023","326","1,084","-1,077","745","-205","539","373","158","-1,369","-1,527","761","1,721","1,039","2,836","1,261","1,605","-1,429","1,621","2,268","1,322","1,275","2,882","2,085","2,201","1,701","-609","766","-674","-1,235","563","1,883","683","1,241","-90","2,476","1,607","54","210","1,035","-33","-76","279","-362","1,153","1,661","-286","-935","867","-870","-40","-1,076","-760","-1,316","-1,131","-76","572","-1,200","-664","-226","-1,437","-1,593","-414","-889","-1,115","-2,237","-1,493","-1,178","-923","-1,253","-823","-1,509","-1,193","-404","-1,022","-1,387","521","1,581","-1,149","-1,504","-212","234","-681","-211","-794","-1,228","-1,129","1,140","1,481","1,225","1,252","-1,808","-170","-982","-97","457","-421","133","127","1,661","1,335","-1,182","-1,312","-1,250","1,800","-502","-1,269","-1,952","789","-686","-3","520","1,277","1,211","1,016"
"Gross domestic product at market prices","342,687","351,364","359,914","364,811","374,518","377,495","382,323","389,825","392,297","398,002","401,027","413,577","423,930","425,518","430,060","432,217","445,966","450,049","456,330","467,514","476,611","486,899","486,666","492,697","491,587","501,828","503,410","505,603","509,913","523,621","530,914","538,265","545,634","547,879","553,957","561,785","565,257","565,304","571,154","572,021","569,078","585,694","601,880","608,458","606,422","623,614","625,464","640,155","656,585","662,849","665,931","678,214","683,827","690,841","690,974","687,374","683,629","692,399","705,683","713,849","726,289","741,951","745,377","746,581","758,032","761,900","766,378","778,522","785,245","790,590","797,965","805,531","811,958","822,729","828,760","834,320","840,113","839,746","839,048","850,657","868,983","878,750","870,861","866,874","856,676","846,763","839,341","831,597","845,508","862,126","871,768","882,754","897,940","915,503","919,353","933,920","948,110","951,132","963,199","977,982","977,688","983,246","984,487","977,378","999,928","1,012,843","1,028,259","1,041,543","1,056,728","1,066,087","1,066,184","1,073,620","1,085,867","1,090,017","1,093,917","1,091,582","1,101,873","1,097,310","1,089,546","1,079,836","1,064,426","1,069,389","1,070,821","1,072,797","1,073,579","1,074,890","1,080,662","1,086,810","1,093,765","1,103,723","1,114,242","1,119,052","1,135,542","1,152,136","1,166,865","1,175,379","1,186,304","1,186,783","1,188,347","1,193,217","1,194,038","1,202,352","1,212,740","1,222,507","1,238,634","1,252,626","1,267,450","1,279,723","1,297,798","1,298,491","1,310,310","1,328,139","1,352,229","1,363,541","1,384,876","1,404,357","1,426,823","1,443,782","1,458,465","1,460,962","1,468,700","1,472,658","1,471,677","1,480,637","1,502,613","1,511,469","1,524,550","1,532,914","1,541,396","1,539,123","1,544,874","1,555,533","1,566,737","1,585,347","1,604,061","1,615,585","1,621,176","1,632,938","1,652,719","1,669,060","1,682,596","1,683,465","1,688,166","1,694,895","1,705,736","1,722,263","1,729,494","1,731,459","1,732,786","1,739,053","1,753,314","1,732,984","1,693,824","1,675,340","1,682,878","1,702,503","1,723,041","1,732,057","1,744,332","1,763,825","1,777,148","1,780,610","1,805,176","1,819,392","1,820,558","1,826,496","1,828,984","1,832,766","1,849,206","1,859,938","1,875,096","1,894,795","1,897,892","1,915,226","1,933,594","1,946,974","1,936,275","1,931,005","1,937,835","1,939,286","1,949,923","1,940,335","1,960,344","1,971,351","1,992,778","2,013,165","2,021,658","2,032,130","2,049,916","2,066,010","2,080,268","2,087,359","2,088,836","2,109,476","2,117,366","2,124,287","2,079,075","1,851,868","2,018,868","2,061,880","2,088,868","2,076,573","2,106,286","2,141,494","2,154,177","2,173,172","2,185,692","2,185,910"
"Final domestic demand","330,186","336,181","345,962","346,540","353,170","356,287","357,144","361,447","363,529","369,296","373,237","381,135","392,675","393,348","399,031","408,639","412,040","419,482","429,747","439,877","446,663","453,604","459,299","463,273","465,939","473,977","472,446","477,055","482,967","486,023","493,999","502,215","509,802","512,368","516,415","522,488","523,830","525,950","531,990","539,137","536,126","555,675","567,598","578,358","577,734","589,201","593,626","601,982","617,556","624,420","630,698","647,553","662,516","662,889","666,362","663,301","673,788","687,732","702,677","711,717","712,808","730,370","726,613","737,478","741,636","745,572","752,229","755,942","757,968","765,989","768,288","772,212","779,994","784,581","793,693","797,094","803,546","799,143","816,961","824,754","836,493","841,396","835,936","835,104","820,004","804,823","796,662","799,762","801,715","813,934","823,008","829,353","834,062","838,791","843,089","854,050","867,432","882,098","895,780","907,754","909,257","913,170","921,044","920,898","932,403","951,495","965,262","977,751","988,222","1,000,265","1,012,299","1,016,471","1,031,301","1,039,853","1,039,823","1,051,216","1,061,199","1,046,144","1,045,314","1,038,175","1,026,968","1,038,838","1,037,450","1,045,673","1,044,816","1,037,342","1,044,393","1,042,294","1,040,937","1,048,719","1,053,924","1,058,004","1,066,873","1,077,411","1,080,489","1,087,905","1,082,052","1,085,630","1,090,034","1,089,016","1,102,475","1,103,770","1,111,422","1,133,275","1,150,887","1,161,234","1,177,948","1,185,048","1,191,397","1,197,888","1,203,290","1,207,508","1,223,383","1,238,776","1,253,812","1,267,657","1,280,943","1,292,158","1,306,319","1,310,899","1,327,841","1,336,415","1,342,814","1,345,048","1,359,592","1,374,753","1,383,719","1,394,679","1,404,119","1,414,976","1,432,161","1,442,359","1,462,121","1,470,323","1,485,545","1,499,904","1,519,533","1,536,466","1,553,695","1,573,338","1,593,853","1,608,569","1,619,099","1,632,460","1,646,553","1,664,805","1,679,751","1,702,136","1,722,571","1,729,403","1,726,576","1,703,045","1,658,947","1,667,167","1,689,397","1,715,585","1,743,096","1,759,525","1,773,366","1,792,651","1,799,553","1,809,185","1,816,871","1,827,912","1,846,062","1,851,080","1,859,048","1,867,550","1,872,842","1,880,714","1,890,440","1,900,704","1,905,868","1,918,037","1,932,521","1,945,629","1,932,498","1,925,965","1,930,683","1,934,364","1,930,309","1,936,603","1,945,303","1,946,861","1,974,633","1,993,328","2,010,688","2,035,278","2,049,467","2,060,914","2,062,203","2,059,395","2,070,807","2,072,492","2,091,625","2,100,426","2,075,015","1,834,752","2,044,108","2,068,844","2,101,034","2,098,036","2,135,756","2,154,999","2,171,340","2,182,785","2,178,368","2,183,840"




"How to cite: Statistics Canada. Table 36-10-0104-01  Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610010401